County Name,State Name,year,Mortality Rate
Autauga,Alabama,1980,"41.29 (37.35, 45.60)"
Baldwin,Alabama,1980,"31.81 (29.21, 34.27)"
Barbour,Alabama,1980,"35.83 (32.21, 39.48)"
Bibb,Alabama,1980,"39.77 (35.50, 44.07)"
Blount,Alabama,1980,"37.80 (34.36, 41.41)"
Bullock,Alabama,1980,"28.08 (24.01, 32.08)"
Butler,Alabama,1980,"27.61 (24.42, 30.79)"
Calhoun,Alabama,1980,"43.92 (40.82, 47.15)"
Chambers  ,Alabama,1980,"33.47 (30.44, 36.50)"
Cherokee  ,Alabama,1980,"34.89 (31.55, 38.53)"
Chilton  ,Alabama,1980,"35.91 (32.43, 39.42)"
Choctaw  ,Alabama,1980,"28.51 (25.16, 31.94)"
Clarke  ,Alabama,1980,"35.99 (32.35, 39.73)"
Clay  ,Alabama,1980,"37.96 (33.97, 42.33)"
Cleburne  ,Alabama,1980,"40.82 (36.67, 45.16)"
Coffee  ,Alabama,1980,"40.21 (36.58, 44.06)"
Colbert  ,Alabama,1980,"32.26 (29.25, 35.28)"
Conecuh  ,Alabama,1980,"26.80 (22.95, 30.43)"
Coosa  ,Alabama,1980,"34.91 (30.97, 38.93)"
Covington  ,Alabama,1980,"34.39 (31.29, 37.51)"
Crenshaw  ,Alabama,1980,"43.05 (38.69, 47.39)"
Cullman  ,Alabama,1980,"39.98 (36.88, 43.10)"
Dale  ,Alabama,1980,"38.19 (34.57, 41.71)"
Dallas  ,Alabama,1980,"34.18 (30.71, 37.54)"
DeKalb  ,Alabama,1980,"32.90 (30.00, 35.94)"
Elmore  ,Alabama,1980,"36.00 (32.76, 39.05)"
Escambia  ,Alabama,1980,"32.95 (29.84, 36.02)"
Etowah  ,Alabama,1980,"35.76 (33.15, 38.40)"
Fayette  ,Alabama,1980,"32.44 (29.02, 36.04)"
Franklin  ,Alabama,1980,"37.30 (33.98, 40.78)"
Geneva  ,Alabama,1980,"43.86 (39.75, 47.81)"
Greene  ,Alabama,1980,"24.44 (20.69, 28.18)"
Hale  ,Alabama,1980,"25.34 (21.90, 28.92)"
Henry  ,Alabama,1980,"35.24 (30.66, 39.63)"
Houston  ,Alabama,1980,"37.51 (33.99, 40.78)"
Jackson  ,Alabama,1980,"36.67 (33.52, 40.14)"
Jefferson  ,Alabama,1980,"40.05 (37.82, 42.09)"
Lamar  ,Alabama,1980,"35.01 (31.20, 39.12)"
Lauderdale  ,Alabama,1980,"33.30 (30.59, 35.96)"
