County Name_x,State Name_x,year,county,state,mortality_average,mortality_min,mortality_max,State Name_y,County Name_y,Max,Min,Mean,Median,Std
Baldwin  ,Alabama,2000,baldwin,alabama,44.2,41.77,46.66,Alabama,Baldwin,0.096588,0.010824,0.0404131652892562,0.0383825,0.01475663487786508
Clay  ,Alabama,2000,clay,alabama,58.73,54.31,63.19,Alabama,Clay,0.069353,0.008529,0.0322822625,0.033,0.011608734251160591
DeKalb  ,Alabama,2000,dekalb,alabama,65.93,62.48,69.57,Alabama,DeKalb,0.072824,0.004353,0.04068265096952908,0.041176,0.015559095250226371
Elmore  ,Alabama,2000,elmore,alabama,65.56,61.84,69.25,Alabama,Elmore,0.077706,0.011,0.04320034979423869,0.044529,0.013758500577669554
Jefferson  ,Alabama,2000,jefferson,alabama,51.82,49.76,54.1,Alabama,Jefferson,0.077833,0.0,0.03251094846382557,0.031471,0.014062518110376955
Lawrence  ,Alabama,2000,lawrence,alabama,63.74,59.81,67.67,Alabama,Lawrence,0.076529,0.012353,0.04285066530612244,0.043824,0.013854834608426951
Madison  ,Alabama,2000,madison,alabama,52.27,49.63,55.0,Alabama,Madison,0.067647,0.001941,0.03070732872928177,0.030088,0.014136038224967132
Mobile  ,Alabama,2000,mobile,alabama,51.69,49.46,54.14,Alabama,Mobile,0.085529,0.0,0.03316676572668113,0.032176,0.013657705629988935
Montgomery  ,Alabama,2000,montgomery,alabama,51.65,48.99,54.52,Alabama,Montgomery,0.066294,0.010118,0.03768509387755102,0.035882,0.01296199256952026
Morgan  ,Alabama,2000,morgan,alabama,57.65,54.65,60.48,Alabama,Morgan,0.068294,0.013471,0.04015651891891892,0.040471,0.012245640331621436
Shelby  ,Alabama,2000,shelby,alabama,52.31,49.54,55.15,Alabama,Shelby,0.079059,0.005059,0.0342789029535865,0.033529,0.014032955130022324
Sumter  ,Alabama,2000,sumter,alabama,40.47,36.77,44.54,Alabama,Sumter,0.075235,0.005818,0.03450414227642276,0.0334705,0.01444541813524703
Cochise  ,Arizona,2000,cochise,arizona,49.97,47.31,52.54,Arizona,Cochise,0.065412,0.021059,0.04309626519337016,0.0420295,0.009015754161687917
Coconino  ,Arizona,2000,coconino,arizona,41.3,38.6,44.11,Arizona,Coconino,0.073471,0.029,0.04764872950819672,0.0466175,0.008479181996961299
Maricopa  ,Arizona,2000,maricopa,arizona,50.02,48.28,51.85,Arizona,Maricopa,0.085059,0.0,0.03604251952492352,0.036,0.015546773044842295
Pima  ,Arizona,2000,pima,arizona,52.59,50.55,54.85,Arizona,Pima,0.067059,0.001,0.03152854807245704,0.031824,0.012950623150981317
Yavapai  ,Arizona,2000,yavapai,arizona,51.63,49.29,53.95,Arizona,Yavapai,0.076294,0.018875,0.05089531355932203,0.049706,0.009037129896142854
Yuma  ,Arizona,2000,yuma,arizona,44.12,42.12,46.26,Arizona,Yuma,0.052824,0.013824,0.03202117032967033,0.032,0.008426814621936628
Clark  ,Arkansas,2000,clark,arkansas,48.28,44.64,52.22,Arkansas,Clark,0.064706,0.001471,0.02833418465909091,0.027706,0.011149997975929858
Crittenden  ,Arkansas,2000,crittenden,arkansas,60.04,56.22,63.84,Arkansas,Crittenden,0.064294,0.001,0.027053161202185795,0.0255885,0.013491199323951899
Montgomery  ,Arkansas,2000,montgomery,arkansas,58.2,53.72,62.75,Arkansas,Montgomery,0.063529,0.006353,0.02932258028169014,0.027529,0.01191812253425086
Newton  ,Arkansas,2000,newton,arkansas,44.31,39.67,49.18,Arkansas,Newton,0.070412,0.012353,0.040181923497267756,0.039088,0.012919568679328456
Pulaski  ,Arkansas,2000,pulaski,arkansas,52.78,50.41,55.38,Arkansas,Pulaski,0.073647,0.000294,0.031001377931034486,0.028824,0.014778720021282896
Alameda  ,California,2000,alameda,california,37.44,35.86,39.13,California,Alameda,0.065235,0.000235,0.020078525767829255,0.019471,0.010086307204906943
Amador  ,California,2000,amador,california,46.8,43.79,49.9,California,Amador,0.074882,0.001529,0.032073319672131145,0.0315295,0.015460816840105278
Butte  ,California,2000,butte,california,61.77,59.22,64.35,California,Butte,0.082706,0.000923,0.03583085501858736,0.036,0.01792593589830014
Calaveras  ,California,2000,calaveras,california,49.55,46.75,52.29,California,Calaveras,0.083588,0.002636,0.0331253115727003,0.029882,0.0171423527399007
Colusa  ,California,2000,colusa,california,55.32,51.14,59.51,California,Colusa,0.049235,0.001765,0.025515226890756304,0.026765,0.009833140460521939
Contra Costa  ,California,2000,contra costa,california,42.08,40.32,43.95,California,Contra Costa,0.061765,0.001538,0.02327413387978142,0.023882,0.011020047911533538
El Dorado  ,California,2000,el dorado,california,48.23,45.72,50.7,California,El Dorado,0.087353,0.008765,0.04186114309906858,0.041059,0.01411119405075204
Fresno  ,California,2000,fresno,california,46.67,44.77,48.68,California,Fresno,0.087882,0.002176,0.03716955070281125,0.037471,0.017779364618639538
Glenn  ,California,2000,glenn,california,62.5,58.47,66.68,California,Glenn,0.057647,0.004412,0.02967435754189944,0.0310295,0.010645609612561705
Imperial  ,California,2000,imperial,california,41.39,38.81,44.27,California,Imperial,0.060118,0.0029,0.029930903276131043,0.030059,0.010908035900484328
Inyo  ,California,2000,inyo,california,56.91,53.37,60.58,California,Inyo,0.071059,0.027824,0.04722085950413223,0.045706,0.010285357953229574
Kern  ,California,2000,kern,california,66.95,64.35,69.59,California,Kern,0.088706,0.000647,0.03732302772902773,0.037118,0.018582403968339482
Kings  ,California,2000,kings,california,57.55,54.71,60.7,California,Kings,0.080941,0.001471,0.03796093663911846,0.039765,0.01963094183094656
Lake  ,California,2000,lake,california,72.71,69.19,76.16,California,Lake,0.058353,0.010176,0.027978043715846997,0.028588,0.008833020948550716
Los Angeles  ,California,2000,los angeles,california,39.02,37.68,40.58,California,Los Angeles,0.093294,0.0,0.022195882561576355,0.020941,0.01380189701372156
Madera  ,California,2000,madera,california,47.22,44.74,49.94,California,Madera,0.067765,0.003176,0.03179396712328767,0.033706,0.01404289880471891
Marin  ,California,2000,marin,california,34.55,32.8,36.27,California,Marin,0.046059,0.000882,0.01521711475409836,0.0149705,0.007935320839113703
Mariposa  ,California,2000,mariposa,california,48.59,44.73,51.92,California,Mariposa,0.089882,0.022824,0.0508433897996357,0.050353,0.014212163659751961
Mendocino  ,California,2000,mendocino,california,57.71,54.96,60.62,California,Mendocino,0.042059,0.0,0.017685002735978114,0.017882,0.008341351824839064
Merced  ,California,2000,merced,california,50.77,48.35,53.51,California,Merced,0.079647,0.0035,0.03662990055248619,0.0372055,0.017439668620928876
Monterey  ,California,2000,monterey,california,41.47,39.57,43.63,California,Monterey,0.058059,0.002765,0.025543273039889958,0.025264500000000002,0.00833692483937742
Napa  ,California,2000,napa,california,46.03,43.72,48.25,California,Napa,0.045941,0.003588,0.020113480874316938,0.021176,0.008957169946796678
Nevada  ,California,2000,nevada,california,46.26,43.69,48.79,California,Nevada,0.098765,0.004353,0.04367575165562914,0.041706,0.018231204536510167
Orange  ,California,2000,orange,california,41.06,39.52,42.73,California,Orange,0.064882,0.0,0.024379142173615857,0.025529,0.012637590121199067
Placer  ,California,2000,placer,california,51.03,48.7,53.32,California,Placer,0.082412,0.0,0.02981852194211018,0.029353,0.016294159417434832
Plumas  ,California,2000,plumas,california,64.62,60.59,68.79,California,Plumas,0.060765,0.007588,0.029503494505494506,0.029588,0.011690755603048835
Riverside  ,California,2000,riverside,california,53.87,51.87,55.84,California,Riverside,0.086706,0.0,0.03378381672760512,0.033294,0.016777565937390798
Sacramento  ,California,2000,sacramento,california,51.17,49.27,53.21,California,Sacramento,0.080941,0.0,0.025438093441920273,0.026118,0.013437999900687888
San Benito  ,California,2000,san benito,california,41.57,38.82,44.79,California,San Benito,0.066294,0.005235,0.031554872472783824,0.030647,0.010993023844342302
San Bernardino  ,California,2000,san bernardino,california,67.67,65.48,70.17,California,San Bernardino,0.1,0.000294,0.03578247408464098,0.034412,0.018623203533236463
San Diego  ,California,2000,san diego,california,43.98,42.41,45.79,California,San Diego,0.086882,0.0,0.026959799591524124,0.026765,0.012702097147669966
San Francisco  ,California,2000,san francisco,california,33.11,31.69,34.68,California,San Francisco,0.039294,0.001235,0.01754937637362637,0.0179705,0.008878409695757527
San Joaquin  ,California,2000,san joaquin,california,54.81,52.63,56.94,California,San Joaquin,0.068294,0.000235,0.02435400677637948,0.024706,0.012395623241980392
San Luis Obispo  ,California,2000,san luis obispo,california,44.72,42.61,47.06,California,San Luis Obispo,0.060647,0.002882,0.026904874074074075,0.026941,0.009079703090732335
San Mateo  ,California,2000,san mateo,california,35.0,33.44,36.79,California,San Mateo,0.040882,0.000471,0.01641739344262295,0.016,0.009161706439326425
Santa Barbara  ,California,2000,santa barbara,california,37.8,35.94,40.0,California,Santa Barbara,0.070412,0.001294,0.032384407263294425,0.032235,0.00978673388516137
Santa Clara  ,California,2000,santa clara,california,35.06,33.55,36.84,California,Santa Clara,0.056706,0.001412,0.0194500810564663,0.018824,0.00900788083377967
Santa Cruz  ,California,2000,santa cruz,california,45.16,43.0,47.54,California,Santa Cruz,0.049353,0.002091,0.02326838392857143,0.022824,0.008869182889655661
Shasta  ,California,2000,shasta,california,74.19,71.09,77.3,California,Shasta,0.070529,0.000353,0.03016397643732328,0.033235,0.015796722344124717
Siskiyou  ,California,2000,siskiyou,california,57.01,53.65,60.36,California,Siskiyou,0.055941,0.008941,0.027887300366300365,0.028706,0.008411284679578914
Solano  ,California,2000,solano,california,49.6,47.17,51.85,California,Solano,0.054824,0.000235,0.022234451181911613,0.022647,0.009899714797141579
Sonoma  ,California,2000,sonoma,california,44.27,42.39,46.29,California,Sonoma,0.054529,0.0,0.022389493169398908,0.022765,0.010004024898693923
Stanislaus  ,California,2000,stanislaus,california,55.44,53.22,57.82,California,Stanislaus,0.072,0.002941,0.02710851983584131,0.027765,0.013755730980435503
Sutter  ,California,2000,sutter,california,59.52,56.46,62.62,California,Sutter,0.083353,0.000647,0.030072167061611373,0.029647,0.015369861480371057
Tehama  ,California,2000,tehama,california,68.61,64.95,72.33,California,Tehama,0.083941,0.0,0.030175326,0.027912,0.01919173583218122
Tulare  ,California,2000,tulare,california,55.47,53.11,58.11,California,Tulare,0.094471,0.001471,0.04323215441860465,0.041,0.019907318147815146
Tuolumne  ,California,2000,tuolumne,california,47.03,44.41,49.73,California,Tuolumne,0.094882,0.003059,0.04289692791411043,0.0426765,0.01919843582424657
Ventura  ,California,2000,ventura,california,43.14,41.22,45.14,California,Ventura,0.085059,0.0,0.029136726114649684,0.029118,0.012604234357428615
Yolo  ,California,2000,yolo,california,58.13,55.17,61.15,California,Yolo,0.05,0.001353,0.023449427977839336,0.024529,0.010580394726947735
Adams  ,Colorado,2000,adams,colorado,58.2,56.17,60.49,Colorado,Adams,0.045706,0.0,0.019380804407713496,0.018941,0.011141927360512713
Arapahoe  ,Colorado,2000,arapahoe,colorado,58.2,56.17,60.49,Colorado,Arapahoe,0.066353,0.000529,0.031189688524590163,0.031647,0.01516675498677105
